Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
460,nice guy,2016,holland march ryan gosling downonhisluck private eye 1977 los angeles jackson healy russell crowe hired enforcer hurt people living fate turn unlikely partner young woman named amelia margaret qualley mysteriously disappears healy march soon learn hard way dangerous people also looking amelia investigation take dark place anyone else get involved case seems wind dead,91,79.0,nice guy hearkens back buddy comedy bygone era adding something extra courtesy knowing script irresistible chemistry lead,317,50000,comedy,r languagebrief drug usenuditysexualityviolence,comedy action mystery thriller,english,shane black,joel silver,shane black anthony bagarozzi,may 20 2016 wide,aug 9 2016,362m,1h 56m,silver picture ratpacdune entertainment waypoint entertainment,unknown,unknown,unknown,russell crowe ryan gosling angourie rice matt bomer margaret qualley yaya dacosta keith david beau knapp lois smith murielle telio shane black shane black anthony bagarozzi joel silver ken kao hal sadoff anthony bagarozzi alex walton michael j malone philippe rousselot
464,fighting family,2019,born tightknit wrestling family paige brother zak ecstatic get onceinalifetime opportunity try wwe paige earns spot competitive training program must leave loved one behind face new cutthroat world alone paige journey push dig deep ultimately prove world make different thing make star,93,86.0,much like sport celebrates fighting family muscle past clichés potent blend energy committed acting leave audience cheering,241,2500,comedy,pg13 drug contentcrude sexual materiallanguage throughoutsome violence,comedy drama biography,english,stephen merchant,kevin misher dwayne johnson dany garcia stephen merchant michael j luisi,stephen merchant,feb 22 2019 wide,apr 30 2019,230m,1h 47m,wwe studio misher film seven buck production,unknown,scope 2351,unknown,florence pugh lena headey nick frost jack lowden vince vaughn dwayne johnson hannah rae stephen merchant stephen merchant stephen merchant kevin misher dwayne johnson dany garcia stephen merchant michael j luisi andy berman hiram garcia daniel battsek
467,moonrise kingdom,2012,year 1965 resident new penzance island coast new england inhabit community seems untouched bad thing going rest world twelveyearolds sam jared gilman suzy kara hayward fallen love decide run away violent storm approaching island forcing group quirky adult bruce willis edward norton bill murray mobilize search party find youth calamity strike,93,86.0,warm whimsical poignant immaculately framed beautifully acted moonrise kingdom present writerdirector wes anderson idiosyncratic best,263,100000,comedy,pg13 smokingsexual content,comedy drama romance,english,wes anderson,wes anderson scott rudin steven rale jeremy dawson,wes anderson roman coppola,jun 29 2012 wide,dec 10 2015,455m,1h 34m,indian paintbrush american empirical picture,unknown,unknown,unknown,bruce willis edward norton bill murray france mcdormand tilda swinton jared gilman kara hayward bob balaban lucas hedge charlie kilgore wes anderson wes anderson roman coppola wes anderson scott rudin steven rale jeremy dawson sam hoffman mark roybal robert yeoman
468,airplane,1980,spoof comedy take shot slew disaster movie released 70 passenger crew jet incapacitated due food poisoning rogue pilot drinking problem must cooperate exgirlfriend turned stewardess bring plane safe landing,97,89.0,though unabashedly juvenile silly airplane nevertheless uproarious spoof comedy full quotable line slapstick gag endure day,67,250000,comedy,pg,comedy,english,jim abraham david zucker jerry zucker,jon davison howard w koch,jim abraham david zucker jerry zucker,jan 1 1980 wide,jun 6 2014,unknown,1h 28m,paramount picture,mono,flat 1851,unknown,robert hay julie hagerty peter graf robert stack lloyd bridge kareem abduljabbar leslie nielsen lorna patterson stephen stucker jim abraham david zucker jerry zucker jim abraham david zucker jerry zucker jim abraham jon davison hunt lowry
469,fortyyearold version,2020,struggling new york city playwright find inspiration reinventing rapper,98,69.0,fortyyearold version open compelling window ebb flow artist life announces writerdirectorstar radha blank major filmmaking talent feature debut,126,100,comedy,r drug usebrief nuditysexual contentpervasive language,drama comedy music,english,radha blank,unknown,radha blank,unknown,oct 9 2020,unknown,2h 3m,hillman grad,unknown,scope 2351,unknown,reed birney radha blank peter kim jacob mingtrent haskiri velazquez radha blank radha blank
471,shadow,2014,vampire housemate jemaine clement taika waititi jonathan brugh try cope complexity modern life show newly turned hipster cori gonzalezmacuer perk undead,96,86.0,smarter fresher funnier modern vampire movie right shadow bloody good fun,187,25000,comedy,r languagebloody violent contentsome sexual material,comedy horror,english,jemaine clement taika waititi,emanuel michael taika waititi pamela harveywhite chelsea winstanley,jemaine clement taika waititi,feb 13 2015 limited,mar 8 2016,33m,1h 26m,unison film defender film,unknown,unknown,unknown,jemaine clement taika waititi jonathan brugh cori gonzalezmacuer stuart rutherford ben fransham jackie van beek elena stejko rhys darby jemaine clement taika waititi jemaine clement taika waititi jemaine clement emanuel michael taika waititi pamela harveywhite chelsea winstanley plan 9
472,paddington,2014,deadly earthquake destroys home peruvian rainforest young bear ben whishaw make way england search new home bear dubbed paddington london train station find shelter family henry hugh bonneville mary brown sally hawkins although paddingtons amazement urban living soon endears brown someone else eye taxidermist millicent clyde nicole kidman design rare bear hide,97,80.0,paddington brings beloved childrens character 21st century without sacrificing essential charm delivering familyfriendly adventure irresistibly cuddly star,163,50000,comedy,pg rude humormild action,kid family comedy adventure,english,paul king,david heyman,paul king,jan 16 2015 wide,nov 30 2016,unknown,1h 35m,tf1 film production heyday film anton capital entertainment studiocanal,dolby digital,unknown,unknown,hugh bonneville sally hawkins julie walter jim broadbent peter capaldi nicole kidman madeleine harris samuel joslin ben whishaw imelda staunton david heyman erik wilson gary williamson justin brown
473,dont think twice,2016,turmoil strike new york improv troupe keeganmichael key gillian jacob mike birbiglia one member leaf star television show,98,69.0,dont think twice offer bittersweet look comedian life thats genuinely moving laughoutloud funny brilliant calling card writerdirector mike birbiglia,136,10000,comedy,r drug uselanguage,comedy drama,english,mike birbiglia,ira glass miranda bailey amanda marshall,mike birbiglia,jul 22 2016 limited,nov 22 2016,44m,1h 28m,cold iron picture secret public production,unknown,unknown,unknown,keeganmichael key gillian jacob mike birbiglia kate micucci tami sagher chris gethard richard masur sondra james richard kline mike birbiglia mike birbiglia ira glass miranda bailey amanda marshall andy bohn geoffrey richman
475,saint france,2019,abortion deadbeat nanny find friendship 6yearold shes hired watch,99,79.0,saint france approach array weighty issue empathy humor grace mark star writer kelly osullivan tremendous talent watch,100,100,comedy,unknown,comedy drama,english,alex thompson,james choi,kelly osullivan,feb 28 2020 limited,may 3 2020,161k,1h 46m,unknown,unknown,unknown,unknown,kelly osullivan laura fisher mary beth fisher francis guinan lily mojekwu jim truefrost alex thompson kelly osullivan james choi ian keiser kelly osullivan nate hurtsellers alex babbitt
478,bringing baby,1938,harried paleontologist david huxley cary grant make good impression society matron mr random may robson considering donating one million dollar museum day wedding huxley meet mr randoms highspirited young niece susan vance katharine hepburn madcap adventuress immediately fall straitlaced scientist evergrowing chaos including missing dinosaur bone pet leopard threatens swallow whole,93,89.0,katharine hepburn cary grant effervescent best bringing baby seamlessly assembled comedy enduring appeal,46,25000,comedy,unknown,comedy,english,howard hawk,howard hawk,unknown,feb 18 1938 wide,jan 1 2008,unknown,1h 42m,rko radio picture inc,mono,unknown,unknown,katharine hepburn cary grant charlie ruggles may robson barry fitzgerald walter catlett fritz feld ward bond howard hawk hagar wilde dudley nichols hagar wilde howard hawk cliff reid roy webb jimmy mchugh russell metty
479,blow man,2019,welcome easter cove salty fishing village far reach maine rocky coast grieving loss mother facing uncertain future mary beth priscilla connolly cover gruesome runin dangerous man conceal crime sister must go deeper easter cove underbelly uncover town matriarch darkest secret,98,74.0,clever funny original blow man cinematic journey thats missed,120,250,comedy,r language brief drug usesome languagesexual material,comedy drama,english,bridget savage cole danielle krudy,drew houpt alex scharfman lucas joaquin,bridget savage cole danielle krudy,unknown,mar 17 2020,unknown,1h 30m,secret engine tango entertainment,unknown,unknown,unknown,sophie lowe morgan saylor june squibb marceline hugot annette otoole brittain owen burke bridget savage cole danielle krudy bridget savage cole danielle krudy alex scharfman lucas joaquin ron yerxa lucas joaquin
480,,1942,acting couple joseph jack benny maria tura carole lombard managing theatrical troupe nazi invade poland maria affair lieutenant sobinski robert stack suspect professor siletsky stanley ridge nazi spy siletsky possession list member polish resistance turas company take action using skill impersonation joseph company must confuse nazi stop siletsky handing list,96,93.0,complex timely satire much darkness slapstick ernst lubitsch delicately balance humor ethic,47,5000,comedy,unknown,comedy,english,ernst lubitsch,ernst lubitsch,melchior lengyel ernst lubitsch edwin justis mayer,unknown,oct 15 2020,unknown,1h 39m,ernst lubitschfilm,unknown,unknown,unknown,carole lombard jack benny robert stack felix bressart lionel atwill stanley ridge sig ruman tom dugan charles halton peter caldwell ernst lubitsch melchior lengyel ernst lubitsch alexander korda ernst lubitsch werner r heymann rudolph maté dorothy spencer
481,groundhog day,1993,phil bill murray weatherman cover annual emergence groundhog hole get caught blizzard didnt predict find trapped time warp doomed relive day get right,96,88.0,smart sweet inventive groundhog day highlight murray dramatic gift still leaving plenty room laugh,84,250000,comedy,pg thematic element,romance,english,harold ramis,trevor albert harold ramis,danny rubin harold ramis,feb 12 1993 wide,apr 16 2012,1626k,1h 36m,columbia picture,dolby surround,flat 1851,unknown,bill murray andie macdowell chris elliott stephen tobolowsky brian doyle murray marita geraghty angela paton rick ducommun rick overton robin duke harold ramis danny rubin danny rubin harold ramis trevor albert co erickson harold ramis whitney white george fenton john bailey
484,player,1992,certain anonymous threat he receiving work david kahane vincent donofrio producer griffin mill tim robbins try fix thing cocktail instead griffin end murdering screenwriter courting dead man girlfriend greta scacchi police investigate griffin concentrate prestigious film might reinvigorate career soon learns david demise hasnt forgotten everyone hollywood,98,84.0,bitingly cynical without succumbing bitterness player one alltime great hollywood satire ensembledriven highlight altman oeuvre,65,10000,comedy,r,comedy,english,robert altman,michael tolkin david brown nick wechsler,michael tolkin,unknown,aug 10 2016,217m,2h 3m,avenue picture production,surround,unknown,unknown,tim robbins greta scacchi fred ward whoopi goldberg peter gallagher brion james cynthia stevenson vincent donofrio dean stockwell richard e grant robert altman cary brokaw nick wechsler thomas newman maysie hoy geraldine peroni
485,cant take,1938,sweetnatured alice sycamore jean arthur fall banker son tony kirby james stewart invite snooty prospective inlaws dinner give blessing marriage alices peculiar extended family including philosophical grandfather martin vanderhof lionel barrymore hapless fledgling ballerina sister essie ann miller firework enthusiast father paul samuel hind might eccentric staid kirbys,93,88.0,predictably uplifting fare frank capra perhaps consciously uplifting great american director thanks immensely appealing performance nimble script cant take hard love,45,5000,comedy,unknown,comedy,english,frank capra,unknown,robert riskin,aug 23 1938 wide,apr 19 2016,unknown,2h 7m,columbia picture,unknown,flat 1371,unknown,jean arthur lionel barrymore james stewart edward arnold mischa auer ann miller spring byington samuel hind donald meek hb warner frank capra george kaufman moss hart robert riskin dimitri tiomkin joseph walker gene havlick stephen goosson
486,truman show,1998,doesnt know everything truman burbank jim carrey life part massive tv set executive producer christof ed harris orchestrates truman show live broadcast truman every move captured hidden camera cristof try control truman mind even removing true love sylvia natascha mcelhone show replacing meryl laura linney truman gradually discovers truth however must decide whether act,95,89.0,funny tender thoughtprovoking film truman show noteworthy remarkably prescient vision runaway celebrity culture nation insatiable thirst private detail ordinary life,132,250000,comedy,pg,comedy drama,english,peter weir,scott rudin andrew niccol edward feldman adam schroeder,andrew niccol,unknown,aug 1 2013,1256m,1h 42m,paramount picture scott rudin production,surround,unknown,unknown,jim carrey laura linney noah emmerich natascha mcelhone holland taylor ed harris brian delate una damon paul giamatti philip baker hall peter weir andrew niccol lynn pleshette scott rudin andrew niccol edward feldman adam schroeder
487,big,1988,wish turn 12yearold josh baskin david moscow 30yearold man tom hank head new york city get lowlevel job macmillen toy company chance encounter owner robert loggia company lead promotion testing new toy soon fellow employee susan lawrence elizabeth perkins take romantic interest josh however pressure living adult begin overwhelm longs return simple former life boy,97,82.0,refreshingly sweet undeniably funny big showcase tom hank dive role infuses charm surprising poignancy,74,250000,comedy,pg,kid family comedy fantasy,english,penny marshall,james l brook robert greenhut,unknown,unknown,nov 21 2014,1135m,1h 44m,gracie film 20th century fox,surround,unknown,unknown,tom hank elizabeth perkins robert loggia john heard jared rushton david moscow jon lovitz mercedes ruehl tracy reiner penny marshall james l brook robert greenhut howard shore barry sonnenfeld barry malkin paula herold juliet taylor santo loquasto speed hopkins
490,enough said,2013,eva julia louisdreyfus divorced single parent seems generally happy dread daughter departure college unexpectedly eva begin romance albert james gandolfini nice man much common meanwhile eva find new friend marianne catherine keener poet perfect except one thing constantly denigrates exhusband albert eva hears doubt relationship,95,75.0,wryly charming impeccably acted ultimately quite bittersweet enough said grownup movie best possible way,191,25000,comedy,pg13 sexual contentbrief languagesome thematic material,romance,english,nicole holofcener,anthony bregman stefanie azpiazu,nicole holofcener,sep 18 2013 limited,mar 28 2016,175m,1h 33m,likely story,datasat sdds dolby stereo,unknown,unknown,julia louisdreyfus james gandolfini catherine keener toni collette tavi gevinson ben falcone tracey fairaway eve hewson michaela watkins phillip brock nicole holofcener nicole holofcener anthony bregman stefanie azpiazu chrisann verge keith cunningham robert frazen marcelo zarvos
491,apartment,1960,insurance worker cc baxter jack lemmon lends upper west side apartment company boss use extramarital affair manager mr sheldrake fred macmurray begin using baxters apartment exchange promoting baxter disappointed learn sheldrake mistress fran kubelik shirley maclaine elevator girl work baxter interested soon baxter must decide girl love advancement career,93,94.0,director billy wilder customary cynicism leavened tender humor romance genuine pathos,72,25000,comedy,unknown,comedy drama,english,billy wilder,billy wilder,billy wilder ial diamond,unknown,mar 29 2016,unknown,2h 5m,mirisch corporation,unknown,unknown,unknown,jack lemmon shirley maclaine fred macmurray ray walston jack kruschen joan shawlee edie adam hope holiday naomi stevens billy wilder billy wilder ial diamond billy wilder daniel mandell adolph deutsch
492,bull durham,1988,durham nc bull minor league baseball team one asset claim poetryloving groupie named annie savoy susan sarandon team season begin annie selects brash new recruit ebby calvin laloosh tim robbins christens nuke inspire religion baseball nuke also receives guidance veteran player crash davis kevin costner settle nuke erratic pitching teach follow catcher lead,97,82.0,kevin costner funniest charismatic bull durham film thats wise relationship minor league baseball,71,50000,comedy,r,romance,english,ron shelton,thom mount mark burg,unknown,unknown,sep 20 2015,499m,1h 48m,mount company,surround,unknown,unknown,kevin costner susan sarandon tim robbins trey wilson robert wuhl jenny robertson max patkin david neidorf ron shelton david v lester thom mount mark burg michael convertino bobby byrne bonnie timmermann armin ganz
493,edge seventeen,2016,everyone know growing hard life easier high school junior nadine hailee steinfeld already peak awkwardness allstar older brother darian blake jenner start dating best friend krista haley lu richardson nadine feel alone ever unexpected friendship thoughtful teen hayden szeto give glimmer hope thing might terrible,94,83.0,edge seventeen sharp script hailee steinfelds outstanding lead performance make another comingofage dramedy,215,25000,comedy,r sexual contentlanguagesome drinking,comedy drama,english,kelly fremon craig,james l brook richard sakai julie ansell,kelly fremon craig,nov 18 2016 wide,jan 31 2017,144m,1h 45m,stx entertainment gracie film,unknown,unknown,unknown,hailee steinfeld haley lu richardson blake jenner kyra sedgwick woody harrelson hayden szeto alexander calvert eric keenleyside nesta cooper kelly fremon craig kelly fremon craig james l brook richard sakai julie ansell brendan ferguson cathy schulman wang zhongjun wang zhonglei
495,muppets,2011,walter world biggest muppet fan vacation los angeles brother gary jason segel gary girlfriend mary amy adam discover greedy tex richman chris cooper plan raze muppet studio drill oil spot desperate save muppets former stomping ground three friend join force kermit reunite miss piggy fozzie rest gang hold telethon raise 10 million need save studio,95,80.0,clever charming heartfelt muppets welcome big screen return jim henson lovable creation win new fan delight longtime devotee,228,50000,comedy,pg mild rude humor,kid family comedy,english,james bobin,david hoberman todd lieberman,jason segel nicholas stoller,nov 23 2011 wide,nov 23 2015,886m,1h 38m,walt disney studio,unknown,unknown,unknown,jason segel amy adam chris cooper rashida jones alan arkin james carville donald glover leslie feist ken jeong judd hirsch james bobin jason segel nicholas stoller david hoberman todd lieberman jason segel nicholas stoller john g scotti martin g baker christophe beck
